State,State Code,FIPS,State Tax Rate,Rank,Avg. Local Tax Rate,Combined Rate,Rank,Max Local Tax Rate
Alabama,AL,1,0.0400,40,0.0522,0.0922,4,0.0750
Alaska,AK,2,0.0000,46,0.0176,0.0176,46,0.0750
Arizona,AZ,4,0.0560,28,0.0280,0.0840,11,0.0560
Arkansas,AR,5,0.0650,9,0.0297,0.0947,3,0.0513
California (b),CA,6,0.0725,1,0.0141,0.0866,9,0.0250
Colorado,CO,8,0.0290,45,0.0475,0.0765,16,0.0830
Connecticut,CT,9,0.0635,12,0.0000,0.0635,33,0.0000
D.C.,DC,0,0.0600,-17,0.0000,0.0600,-38,0.0000
Delaware,DE,10,0.0000,46,0.0000,0.0000,47,0.0000
Florida,FL,12,0.0600,17,0.0105,0.0705,23,0.0250
Georgia,GA,13,0.0400,40,0.0331,0.0731,19,0.0500
Hawaii (c),HI,15,0.0400,40,0.0044,0.0444,45,0.0050
Idaho,ID,16,0.0600,17,0.0003,0.0603,37,0.0300
Illinois,IL,17,0.0625,13,0.0283,0.0908,6,0.1000
Indiana,IN,18,0.0700,2,0.0000,0.0700,24,0.0000
Iowa,IA,19,0.0600,17,0.0094,0.0694,27,0.0100
Kansas,KS,20,0.0650,9,0.0218,0.0868,8,0.0400
Kentucky,KY,21,0.0600,17,0.0000,0.0600,38,0.0000
Louisiana,LA,22,0.0445,38,0.0507,0.0952,2,0.0700
Maine,ME,23,0.0550,29,0.0000,0.0550,42,0.0000
Massachusetts,MA,25,0.0625,13,0.0000,0.0625,35,0.0000
Maryland,MD,24,0.0600,17,0.0000,0.0600,38,0.0000
Michigan,MI,26,0.0600,17,0.0000,0.0600,38,0.0000
Minnesota,MN,27,0.0688,6,0.0058,0.0746,18,0.0200
Mississippi,MS,28,0.0700,2,0.0007,0.0707,22,0.0100
Missouri,MO,29,0.0423,39,0.0396,0.0818,14,0.0563
Montana (d),MT,30,0.0000,46,0.0000,0.0000,47,0.0000
North Carolina,NC,37,0.0475,35,0.0222,0.0697,26,0.0275
North Dakota,ND,38,0.0500,33,0.0186,0.0686,29,0.0350
New Hampshire,NH,33,0.0000,46,0.0000,0.0000,47,0.0000
New Jersey (e),NJ,34,0.0663,8,-0.0003,0.0660,30,0.0331
New Mexico (c),NM,35,0.0513,32,0.0269,0.0782,15,0.0413
New York,NY,36,0.0400,40,0.0452,0.0852,10,0.0488
Nebraska,NE,31,0.0550,29,0.0143,0.0693,28,0.0250
Nevada,NV,32,0.0685,7,0.0147,0.0832,12,0.0165
Ohio,OH,39,0.0575,27,0.0142,0.0717,21,0.0225
Oklahoma,OK,40,0.0450,36,0.0444,0.0894,7,0.0700
Oregon,OR,41,0.0000,46,0.0000,0.0000,47,0.0000
Pennsylvania,PA,42,0.0600,17,0.0034,0.0634,34,0.0200
Rhode Island,RI,44,0.0700,2,0.0000,0.0700,24,0.0000
South Carolina,SC,45,0.0600,17,0.0146,0.0746,17,0.0300
South Dakota (c),SD,46,0.0450,36,0.0190,0.0640,32,0.0450
Tennessee,TN,47,0.0700,2,0.0253,0.0953,1,0.0275
Texas,TX,48,0.0625,13,0.0194,0.0819,13,0.0200
Utah (b),UT,49,0.0610,16,0.0108,0.0718,20,0.0295
Virginia (b),VA,51,0.0530,31,0.0035,0.0565,41,0.0070
Vermont,VT,50,0.0600,17,0.0022,0.0622,36,0.0100
West Virginia,WV,54,0.0600,17,0.0041,0.0641,31,0.0100
Washington,WA,53,0.0650,9,0.0271,0.0921,5,0.0400
Wisconsin,WI,55,0.0500,33,0.0046,0.0546,43,0.0175
Wyoming,WY,56,0.0400,40,0.0134,0.0534,44,0.0200